input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,search_term,PROPERTY_TYPE,PROPERTY_TYPE_SHORT,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,MAIN_HEATING_FUEL,ELECTRICITY_SOURCE,RENEWABLE_SOURCES,BUILDING_ENVIRONMENT,BUILDING_EMISSIONS,Demand KWH,Demand MWH,Demand GWH
,,,,Z46030/0110 /00005,SUPERMARKET,UNIT J110 BRAEHEAD RETAIL PARKKING'S INCH DRIVEGLASGOWG51 4BT,BRAEHEAD GLASGOW LTD ON BEHALF OF INTU PROPERTIES,SAINSBURY'S SUPERMARKETS LTD,"£1,690,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=110+King%27s+Inch+Drive&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=Z46030%2F0110+%2F00005&PPRN=67143660&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=110+King%27s+Inch+Drive&searchtype=listing#results,,110 King's Inch Drive,Glasgow,G51 4BT,110 King's Inch Drive,Retail/Financial and Professional services,Retail/Financial,171,7,A+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,6.68,"5,130.00",5.13,0.01
,,,,Z46030/0148,RETAIL WAREHOUSE,UNIT E148 BRAEHEAD RETAIL PARKKING'S INCH DRIVEGLASGOWG51 4BT,BRAEHEAD GLASGOW LTD ON BEHALF OF INTU PROPERTIES,,"£149,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=148+KING%27S+INCH+DRIVE&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=Z46030%2F0148&PPRN=67163831&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=148+KING%27S+INCH+DRIVE&searchtype=listing#results,,148 KING'S INCH DRIVE,GLASGOW,G51 4BT,148 KING'S INCH DRIVE,Retail/Financial and Professional services,Retail/Financial,959,7,A+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,6.55,"28,770.00",28.77,0.03
,,,,Z46030/0160,RETAIL WAREHOUSE,UNIT C160 BRAEHEAD RETAIL PARKKING'S INCH DRIVEGLASGOWG51 4BT,BRAEHEAD GLASGOW LTD ON BEHALF OF INTU PROPERTIES,HARRY CORRY LTD,"£142,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=160+KING%27S+INCH+DRIVE&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=Z46030%2F0160&PPRN=67143725&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=160+KING%27S+INCH+DRIVE&searchtype=listing#results,,160 KING'S INCH DRIVE,GLASGOW,G51 4BT,160 KING'S INCH DRIVE,Retail/Financial and Professional services,Retail/Financial,946,7,A+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,6.6,"28,380.00",28.38,0.03
,,,,Z46030/0142,RETAIL WAREHOUSE,UNIT F142 BRAEHEAD RETAIL PARKKING'S INCH DRIVEGLASGOWG51 4BT,BRAEHEAD GLASGOW LTD ON BEHALF OF INTU PROPERTIES,HALFORDS,"£154,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=142+KING%27S+INCH+DRIVE&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=Z46030%2F0142&PPRN=67143709&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=142+KING%27S+INCH+DRIVE&searchtype=listing#results,,142 KING'S INCH DRIVE,GLASGOW,G51 4BT,142 KING'S INCH DRIVE,Retail/Financial and Professional services,Retail/Financial,946,8,A,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,8.45,"28,380.00",28.38,0.03
,,,,Z46030/0172,RETAIL WAREHOUSE,UNIT A172 BRAEHEAD RETAIL PARKKING'S INCH DRIVEGLASGOWG51 4BT,BRAEHEAD GLASGOW LTD ON BEHALF OF INTU PROPERTIES,NEXT PLC (RETAIL),"£399,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=172+KING%27S+INCH+DRIVE&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=Z46030%2F0172&PPRN=67143741&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=172+KING%27S+INCH+DRIVE&searchtype=listing#results,,172 KING'S INCH DRIVE,GLASGOW,G51 4BT,172 KING'S INCH DRIVE,Retail/Financial and Professional services,Retail/Financial,2383,6,A+,Grid Supplied Electricity,Grid supplied,Heat pumps,Air Conditioning,5.98,"71,490.00",71.49,0.07
,,,,L242400426 00005,FACTORY,UNIT 1A426 DRUMOYNE ROADGLASGOWG51 4DX,MAVEN CAPITAL (PARADIGM PORTFOLIO 1) LLP,,"£75,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=426+Drumoyne+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400426+00005&PPRN=47351683&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=426+Drumoyne+Road&searchtype=listing#results,,426 Drumoyne Road,Glasgow,G51 4DA,426 Drumoyne Road,Storage or Distribution,Storage/Distribution,1031,40,C,Natural Gas,Grid supplied,None,Heating and Natural Ventilation,40.27,"30,930.00",30.93,0.03
,,,,L242400426 00006,STORE,UNIT 1B426 DRUMOYNE ROADGLASGOWG51 4DX,NMS PORTFOLIO LIMITED,JOHN BROWN CATERHIRE LIMITED,"£60,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=426+Drumoyne+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400426+00006&PPRN=47396792&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=426+Drumoyne+Road&searchtype=listing#results,,426 Drumoyne Road,Glasgow,G51 4DA,426 Drumoyne Road,Storage or Distribution,Storage/Distribution,1031,40,C,Natural Gas,Grid supplied,None,Heating and Natural Ventilation,40.27,"30,930.00",30.93,0.03
,,,,L242400426 00010,STORE,UNIT 2426 DRUMOYNE ROADGLASGOWG51 4DX,NMS PORTFOLIO LIMITED,JOHN BROWN CATERHIRE LIMITED,"£54,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=426+Drumoyne+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=L242400426+00010&PPRN=47351691&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=426+Drumoyne+Road&searchtype=listing#results,,426 Drumoyne Road,Glasgow,G51 4DA,426 Drumoyne Road,Storage or Distribution,Storage/Distribution,1031,40,C,Natural Gas,Grid supplied,None,Heating and Natural Ventilation,40.27,"30,930.00",30.93,0.03
,,,,M324600091,WAREHOUSE ETC,91 MEIKLEWOOD ROADGLASGOWG51 4EU,POLICE SCOTLAND ESTATES DEPARTMENT DALMARNOCK,,"£370,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=91+Meiklewood+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=M324600091&PPRN=47220627&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=91+Meiklewood+Road&searchtype=listing#results,,91 Meiklewood Road,Glasgow,G51 4DU,91 Meiklewood Road,Offices and Workshop businesses,Office/Workshop,14150,28,B,Natural Gas,Grid supplied,Heat pumps,Heating and Natural Ventilation,27.84,"778,250.00",778.25,0.78
,,,,M324600091,WAREHOUSE ETC,91 MEIKLEWOOD ROADGLASGOWG51 4EU,POLICE SCOTLAND ESTATES DEPARTMENT DALMARNOCK,,"£370,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=91+Meiklewood+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=CP&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL_PROPOSED&type_flag=C&UARN=M324600091&PPRN=47220627&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=91+Meiklewood+Road&searchtype=listing#results,,91 Meiklewood Road,Glasgow,G51 4DU,91 Meiklewood Road,Storage or Distribution,Storage/Distribution,2047,40,C,Natural Gas,Grid supplied,Heat pumps,Heating and Natural Ventilation,40.3,"61,410.00",61.41,0.06
