ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
365 GOVAN ROAD,,GLASGOW,G51 2SE,Office/Workshop,Offices and Workshop businesses,948,16,B+,15.57,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"52,140.00",52.14,0.05
375 GOVAN ROAD,,GLASGOW,G51 2SE,Office/Workshop,Offices and Workshop businesses,1386,38,C,37.59,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"166,320.00",166.32,0.17
Ground Floor Pavilion 8 Watermark Business Park,315 Govan Road,Glasgow,G51 2SE,Office/Workshop,Offices and Workshop businesses,181,58,D,58.4,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"18,100.00",18.1,0.02
"Pavilion 7, Watermark Business Park",325 Govan Road,Glasgow,G51 2SE,Office/Workshop,Offices and Workshop businesses,462,74,E,73.99,Heat pumps,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"55,440.00",55.44,0.06
345 Govan Road,,Glasgow,G51 2SE,Office/Workshop,Offices and Workshop businesses,772,20,B+,20.37,Heat pumps,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"42,460.00",42.46,0.04
121 COPLAND ROAD,,GLASGOW,G51 2SL,Retail/Financial,Retail/Financial and Professional services,139,102,G,101.87,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"16,680.00",16.68,0.02
11 Fairley Street,,Glasgow,G51 2SN,General Industrial,General Industrial and Special Industrial Groups,605,130,G,129.89,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"72,600.00",72.6,0.07
OUR HQ,24 Fairley Street,Glasgow,G51 2SN,Office/Workshop,Offices and Workshop businesses,966,15,A,14.61,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"28,980.00",28.98,0.03
15 Fairley Street,,Glasgow,G51 2SN,General Industrial,General Industrial and Special Industrial Groups,1050,99,F,99.32,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"126,000.00",126,0.13
38 IBROX TERRACE,,GLASGOW,G51 2TB,Education,Non-residential Institutions: Education,178,29,B,28.82,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"9,790.00",9.79,0.01
150 COPLAND ROAD,,GLASGOW,G51 2UB,Retail/Financial,Retail/Financial and Professional services,48,57,D,56.99,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"4,800.00",4.8,0
178 COPLAND ROAD,,GLASGOW,G51 2UE,Retail/Financial,Retail/Financial and Professional services,34,194,G,193.92,None,Grid supplied,Grid Supplied Electricity,Heating and Mechanical Ventilation,,"4,080.00",4.08,0
176 COPLAND ROAD,,GLASGOW,G51 2UE,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,52,199,G,198.96,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"6,240.00",6.24,0.01
158 COPLAND ROAD,,GLASGOW,G51 2UE,Storage/Distribution,Storage or Distribution,1234,55,D,54.58,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"37,020.00",37.02,0.04
Copland House Ibrox Stadium,Edmiston Drive,Glasgow,G51 2XD,Retail/Financial,A1/A2 Retail and Financial/Professional services,878,88,F+,88.41,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"105,360.00",105.36,0.11
IBROX COMMUNITY TRUST,80 HINSHELWOOD DRIVE,GLASGOW,G51 2XP,General Assembly/Leisure,"General Assembly and Leisure, Night Clubs, and Theatres",1018,136,G,136.4,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"122,160.00",122.16,0.12
35 WHITEFIELD ROAD,,GLASGOW,G51 2YB,Office/Workshop,Offices and Workshop businesses,312,44,C,43.63,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"37,440.00",37.44,0.04
705 GOVAN ROAD,,GLASGOW,G51 2YJ,Retail/Financial,Retail/Financial and Professional services,282,65,E+,65.12,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"33,840.00",33.84,0.03
796 GOVAN ROAD,,GLASGOW,G51 2YL,General Assembly/Leisure,D2 General Assembly and Leisure plus Night Clubs and Theatres,377,223,G,222.71,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"45,240.00",45.24,0.05
788 Govan Road,,,G51 2YL,Retail/Financial,Retail/Financial and Professional services,152,88,F+,88.44,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"18,240.00",18.24,0.02
