ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Unit 164,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,70,15,A,14.88,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"2,100.00",2.1,0
Clydebuilt Maritime Museum. Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,677,43,C,42.85,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"81,240.00",81.24,0.08
Unit 7,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,291,12,A,11.96,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"8,730.00",8.73,0.01
Unit 154,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,103,12,A,11.99,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"3,090.00",3.09,0
"Unit 65, Braehead Shopping Centre",King's Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,347,14,A,13.51,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"10,410.00",10.41,0.01
Units 8-9 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,515,16,B+,15.84,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"28,325.00",28.33,0.03
Unit 51 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,361,18,B+,17.83,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"19,855.00",19.86,0.02
Unit 52,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,254,9,A,9.21,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"7,620.00",7.62,0.01
Unit 66,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,143,9,A,9.25,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"4,290.00",4.29,0
Unit 3 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,123,18,B+,18.29,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"6,765.00",6.77,0.01
Unit 169 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,238,18,B+,17.97,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"13,090.00",13.09,0.01
Unit 153 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,136,18,B+,18.24,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"7,480.00",7.48,0.01
Unit 121 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,278,18,B+,17.91,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"15,290.00",15.29,0.02
Unit 102 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,238,27,B,27.45,Heat pumps,Grid supplied,Grid Supplied Electricity,Mixed-mode with Mechanical Ventilation,,"13,090.00",13.09,0.01
Units 58-59 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,999,15,A,15.46,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"29,970.00",29.97,0.03
Unit 162A Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,245,33,C+,32.75,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"20,825.00",20.83,0.02
Unit 106 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,197,28,B,27.87,Heat pumps,Grid supplied,Grid Supplied Electricity,Mixed-mode with Mechanical Ventilation,,"10,835.00",10.84,0.01
Unit 167 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,394,18,B+,17.81,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"21,670.00",21.67,0.02
"Unit 108, Braehead Shopping Centre",King's Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,314,9,A,9.2,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"9,420.00",9.42,0.01
Unit 43 - 44 Intu Braehead Shopping Centre,Kings Inch Road,Renfrewshire,G51 4BN,Retail/Financial,Retail/Financial and Professional services,1017,45,C,44.77,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"122,040.00",122.04,0.12
Unit 105,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,208,14,A,14.39,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"6,240.00",6.24,0.01
Unit 36 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,75,19,B+,18.63,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"4,125.00",4.13,0
Unit 35 Intu Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Retail/Financial,A1/A2 Retail and Financial/Professional services,21,71,E,70.52,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"2,520.00",2.52,0
"Unit 5B, Braehead Shopping Centre",King's Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,345,13,A,12.66,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"10,350.00",10.35,0.01
"Unit 34, Braehead Shopping Centre",King's Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,41,14,A,14.42,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"1,230.00",1.23,0
"Unit 42, Braehead Shopping Centre",King's Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,1034,13,A,12.92,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"31,020.00",31.02,0.03
Unit 37 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,49,19,B+,18.96,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"2,695.00",2.7,0
"Unit 123, Braehead Shopping Centre",King's Inch Road,Glasgow,G51 4BN,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,413,40,C,39.78,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"49,560.00",49.56,0.05
Unit 42-42A Braehead Shopping Centre,King's Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,962,57,D,56.84,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"96,200.00",96.2,0.1
Unit 46-48B Braehead Shopping Centre,King’s Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,2467,15,A,15.26,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"74,010.00",74.01,0.07
Unit 149,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,2480,8,A,8.34,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"74,400.00",74.4,0.07
Unit 55,Intu Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,152,29,B,29.11,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"8,360.00",8.36,0.01
"Unit 144-145, Braehead Shopping Centre",King's Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,921,10,A,10.46,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"27,630.00",27.63,0.03
