ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
7,Cornwall Street South,Glasgow,G41 1AA,General Industrial,General Industrial and Special Industrial Groups,165,41,C,40.81,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"14,025.00",14.03,0.01
Unit 8 Century Business Park,Cornwall Street South,Glasgow,G41 1AA,General Industrial,General Industrial and Special Industrial Groups,150,35,C+,34.64,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"12,750.00",12.75,0.01
Unit 10 Century Business Park,Cornwall Street South,Glasgow,G41 1AA,General Industrial,General Industrial and Special Industrial Groups,150,35,C+,34.64,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"12,750.00",12.75,0.01
Unit 5-6 Century Business Park,Cornwall Street South,Glasgow,G41 1AA,General Industrial,General Industrial and Special Industrial Groups,324,48,D+,47.54,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"27,540.00",27.54,0.03
Unit 2-4 Century Business Park,Cornwall Street South,Glasgow,G41 1AA,General Industrial,General Industrial and Special Industrial Groups,472,45,C,45.46,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"56,640.00",56.64,0.06
112A Cornwall Street South,,Glasgow,G41 1AA,Office/Workshop,Offices and Workshop businesses,286,13,A,13.48,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"8,580.00",8.58,0.01
112 CORNWALL STREET SOUTH,,GLASGOW,G41 1AA,Office/Workshop,Offices and Workshop businesses,1024,19,B+,18.74,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"56,320.00",56.32,0.06
Unit 1 Century Business Park,Cornwall Street South,Glasgow,G41 1AA,General Industrial,General Industrial and Special Industrial Groups,159,35,C+,35.1,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"13,515.00",13.52,0.01
Unit 9 Century Business Park,Cornwall Street South,Glasgow,G41 1AA,General Industrial,General Industrial and Special Industrial Groups,150,35,C+,34.64,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"12,750.00",12.75,0.01
Unit 11 - 12 Century Business Park,Cornwall Street South,Glasgow,G41 1AA,General Industrial,General Industrial and Special Industrial Groups,295,32,C+,32.15,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"25,075.00",25.08,0.03
Clutha House,120 Cornwall Street South,Glasgow,G41 1AF,Office/Workshop,Offices and Workshop businesses,1759,47,D+,47.29,Other non-calculated,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"175,900.00",175.9,0.18
38 Cornwall Street,Govan,Glasgow,G41 1AQ,Community/Day Centre,Non-residential Institutions: Community/Day Centre,161,95,F,95.16,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"19,320.00",19.32,0.02
4-6 Cornwall Street,,Glasgow,G41 1AQ,Restaurant/Cafes/takeaway,Restaurants and Cafes/Drinking Establishments/Takeaways,237,108,G,108.31,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"28,440.00",28.44,0.03
12 CORNWALL STREET,,GLASGOW,G41 1AQ,Retail/Financial,Retail/Financial and Professional services,141,209,G,208.86,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"16,920.00",16.92,0.02
CHESTER PARK CARE HOME,40 LAMBHILL STREET,GLASGOW,G41 1AU,Hospitals/Care Home,Residential Institutions: Hospitals and Care Homes,4000,79,E,79.08,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"480,000.00",480,0.48
ABERGATE HOUSE,22 MILNPARK STREET,GLASGOW,G41 1BB,Office/Workshop,Offices and Workshop businesses,320,30,B,30.38,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"17,600.00",17.6,0.02
Unit 15 Claremont Centre,15-39 Durham Street,Glasgow,G41 1BS,General Assembly/Leisure,"General Assembly and Leisure, Night Clubs, and Theatres",117,47,D+,47.19,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"11,700.00",11.7,0.01
Unit 5 Claremont Centre,15-39 Durham Street,Glasgow,G41 1BS,Retail/Financial,Retail/Financial and Professional services,453,55,D,55.2,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"45,300.00",45.3,0.05
Unit 9 Claremont Centre,15-39 Durham Street,Glasgow,G41 1BS,Office/Workshop,Offices and Workshop businesses,106,19,B+,19.21,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"5,830.00",5.83,0.01
Unit 8 Claremont Centre,15-39 Durham Street,Glasgow,G41 1BS,Office/Workshop,Offices and Workshop businesses,235,29,B,29.09,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"12,925.00",12.93,0.01
Unit 10-13 Claremont Centre,15-39 Durham Street,Glasgow,G41 1BS,Office/Workshop,Offices and Workshop businesses,986,67,E+,66.5,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"118,320.00",118.32,0.12
Unit 14 Claremont Centre,15-39 Durham Street,Glasgow,G41 1BS,Office/Workshop,Offices and Workshop businesses,176,50,D+,49.57,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"17,600.00",17.6,0.02
Unit 3 Claremont Centre,15-39 Durham Street,Glasgow,G41 1BS,General Industrial,General Industrial and Special Industrial Groups,7128,62,E+,61.65,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"855,360.00",855.36,0.86
57 Durham Street,,Glasgow,G41 1BS,General Industrial,General Industrial and Special Industrial Groups,951,102,G,101.67,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"114,120.00",114.12,0.11
Unit 4 Claremont Centre,15-39 Durham Street,Glasgow,G41 1BS,Office/Workshop,Offices and Workshop businesses,354,38,C,37.75,None,Grid supplied,Natural Gas,Heating and Mechanical Ventilation,,"42,480.00",42.48,0.04
Unit 6 Claremont Centre,15-39 Durham Street,Glasgow,G41 1BS,Office/Workshop,Offices and Workshop businesses,482,64,E+,63.8,None,Grid supplied,Natural Gas,Heating and Natural Ventilation,,"57,840.00",57.84,0.06
