OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
,Flat 1/1,33 Lyndoch Street,Glasgow,G3 6AA,73.14,Grid supplied,Natural Gas,237,00QS,00QSMK,17.71
9.067E+11,STOREY 0/1,31 LYNEDOCH STREET,GLASGOW,G3 6AA,34.01,Grid supplied,Natural Gas,96,00QS,00QSMK,15.14
,Suite 1,33 Lyndoch Street,Glasgow,G3 6AA,86.59,Grid supplied,Natural Gas,321,00QS,00QSMK,40.41
9.067E+11,STOREY BASEMENT,3 LYNEDOCH PLACE,GLASGOW,G3 6AB,109.38,Grid supplied,Natural Gas,251,00QS,00QSMK,17.91
,1 Park Circus Place,,Glasgow,G3 6AH,21.23,Grid supplied,Natural Gas,119,00QS,00QSMK,3.57
9.06701E+11,STOREY 1,23 PARK CIRCUS,GLASGOW,G3 6AP,52.75,Grid supplied,Natural Gas,186,00QS,00QSMK,16.83
9.067E+11,STOREY GROUND,23 PARK CIRCUS,GLASGOW,G3 6AP,59.48,Grid supplied,Natural Gas,214,00QS,00QSMK,19.64
9.067E+11,FLAT 2,23 PARK CIRCUS,GLASGOW,G3 6AP,64.78,Grid supplied,Natural Gas,247,00QS,00QSMK,18.73
9.067E+11,FLAT 3,23 PARK CIRCUS,GLASGOW,G3 6AP,29.25,Grid supplied,Natural Gas,95,00QS,00QSMK,14.34
,26 Park Circus,,Glasgow,G3 6AP,83.51,Grid supplied,Natural Gas,349,00QS,00QSMK,15.54
9.067E+11,27 Park Circus,,Glasgow,G3 6AP,82.93,Grid supplied,Natural Gas,209,00QS,00QSMK,15.05
,11 Park Circus,,Glasgow,G3 6AX,39.47,Grid supplied,Natural Gas,135,00QS,00QSMK,13.96
9.067E+11,19 PARK CIRCUS,,GLASGOW,G3 6BE,73.61,Grid supplied,Natural Gas,205,00QS,00QSMK,15.42
9.067E+11,22 PARK TERRACE LANE,,GLASGOW,G3 6BQ,58.62,Grid supplied,Natural Gas,203,00QS,00QSMK,12.76
,11 Ashley Street,,Glasgow,G3 6DR,97.4,Grid supplied,Natural Gas,281,00QS,00QSML,19.54
9.067E+11,44 ASHLEY STREET,,GLASGOW,G3 6DS,39.82,Grid supplied,Natural Gas,200,00QS,00QSML,8.69
,The Gilchrist Suite,44 Ashley Street,Glasgow,G3 6DS,104.09,Grid supplied,Natural Gas,366,00QS,00QSML,22.23
9.067E+11,55 WOODLANDS ROAD,,GLASGOW,G3 6ED,201.81,Grid supplied,Natural Gas,691,00QS,00QSMK,66.95
,The Drake,,Glasgow,G3 6EF,83.36,Grid supplied,Natural Gas,453,00QS,00QSMK,44.79
9.067E+11,20 LYNEDOCH CRESCENT,,GLASGOW,G3 6EQ,24.93,Grid supplied,Natural Gas,137,00QS,00QSMK,9.56
,18 LYNEDOCH CRESCENT,,GLASGOW,G3 6EQ,35.96,Grid supplied,Natural Gas,184,00QS,00QSMK,5.56
