OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
40536667144,UNIT 4000 ACADEMY PARK,51 GOWER STREET,GLASGOW,G51 1PR,55.2,Grid supplied,Natural Gas,182,00QS,00QSME,20.13
,"Building 4000, 1st Floor, Academy Park",51 Gower Steet,Glasgow,G51 1PR,34.61,Grid supplied,Natural Gas,172,00QS,00QSME,4.37
9.067E+11,UNIT 11000 ACADEMY PARK,51 GOWER STREET,GLASGOW,G51 1PR,45.32,Grid supplied,Natural Gas,114,00QS,00QSME,20.58
,"Building 9000, 1st Floor, Academy Park",51 Gower Steet,Glasgow,G51 1PR,33.66,Grid supplied,Natural Gas,169,00QS,00QSME,4.01
9.067E+11,UNIT 5000 ACADEMY PARK,51 GOWER STREET,GLASGOW,G51 1PR,54.8,Grid supplied,Natural Gas,167,00QS,00QSME,20.43
,Unit 8000,51 Gower Street,Glasgow,G51 1PR,47.73,Grid supplied,Natural Gas,154,00QS,00QSME,19.37
,,423  Paisley Road West,Glasgow,G51 1PZ,68.1,Grid supplied,Natural Gas,270,00QS,00QSME,14.88
,Bellahouston Business Centre,423 Paisley Road West,Glasgow,G51 1PZ,42.63,Grid supplied,Natural Gas,166,00QS,00QSME,14.19
,Unit A and B,60 Dava Street,Glasgow,G51 2BQ,74.05,Grid supplied,Natural Gas,247,00QS,00QSME,29.94
,Unit C,60 Dava Street,Glasgow,G51 2BQ,71.65,Grid supplied,Natural Gas,244,00QS,00QSME,31.78
,"Unit E,F and G",60 Dava Street,Glasgow,G51 2BQ,51.35,Grid supplied,Natural Gas,162,00QS,00QSME,27.55
,Unit D,60 Dava Street,Glasgow,G51 2BQ,72.07,Grid supplied,Natural Gas,221,00QS,00QSME,32.33
9.06701E+11,Office 1,11 Orton Place,Glasgow,G51 2HF,68.73,Grid supplied,Natural Gas,207,00QS,00QSME,29.51
9.06701E+11,OFFICE 4,11 ORTON PLACE,GLASGOW,G51 2HF,75.57,Grid supplied,Natural Gas,189,00QS,00QSME,22.57
9.06701E+11,OFFICE 2,11 ORTON PLACE,GLASGOW,G51 2HF,66.69,Grid supplied,Natural Gas,158,00QS,00QSME,20.95
,Units 8&9,15 Orton Place,Glasgow,G51 2HF,77.48,Grid supplied,Natural Gas,217,00QS,00QSME,19.79
