EXISTING,PROPOSED,CURRENT POLLING PLACE,PROPOSED CHANGE TO,,,,,
POLLING,NEW,,POLLING PLACE,,,,,
DISTRICT,POLLING,,,,,,,
,DISTRICT,,,,,,,
,NAME,,,,,,,
CC1101,CPSO0101,ST FILLAN'S PRIMARY SCHOOL,No change,,,,,
,,,,,,,,
CC1201,CPSO0102,ST FILLAN'S PRIMARY SCHOOL,No change,,,,,
,,,,,,,,
CC1301,CPSO0103,ST MIRRIN'S PRIMARY SCHOOL,No change,,,,,
,,,,,,,,
CC1401,CPSO0104,CROFTFOOT PRIMARY SCHOOL,No change,,,,,
,,,,,,,,
CC1501,CPSO0105,NETHERHOLM COMMUNITY,No change,,,,,
,,HALL,,,,,,
,,,,,,,,
CC1601,CPSO0106,NETHERHOLM COMMUNITY,No change,,,,,
,,HALL,,,,,,
,,,,,,,,
CC1701,CPSO0107,JOHN PAUL II PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
,,,,,,,,
CC1801,CPSO0108,CARMUNNOCK PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
,,,,,,,,
CC1901,CPSO0109,CROFTFOOT UNITED FREE,No change,,,,,
,,CHURCH HALL,,,,,,
,,,,,,,,
CC2001,CPSO0110,ST BARTHOLEMEW'S PRIMARY,No change,,,,,
,,,,,,,,
CC2101,CPSO0111,CROFTFOOT PRIMARY SCHOOL,No change,,,,,
,,,,,,,,
CC2201,CPSO0112,NETHERHOLM COMMUNITY,No change,,,,,
,,HALL,,,,,,
,,,,,,,,
CC2301,CPSO0113,ST BARTHOLEMEW'S PRIMARY,No change,,,,,
,,,,,,,,
CC2401,CPSO0114,MILLER PRIMARY,No change,,,,,
,,,,,,,,
CC2501,CPSO0115,MILLER PRIMARY,No change,,,,,
,,,,,,,,
EXISTING,PROPOSED,CURRENT POLLING,PROPOSED,DISTANCE,REASON FOR,PROPOSED CHANGE,,
POLLING,NEW,PLACE,CHANGE TO,MILES,PROPOSED CHANGE,TO POLLING PLACE,,
DISTRICT,POLLING,,POLLING,,TO VENUE,,,
,DISTRICT,,PLACE,,,,,
,NAME,,,,,,,
CC2702,CPSO0201,MANSEWOOD,No change,,,No change,,
,,COMMUNITY CENTRE,,,,,,
,,,,,,,,
CC2802,CPSO0202,ST VINCENT'S RC,No change,,,No change,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
CC2902,CPSO0203,EASTWOOD,TINTO,0.9m,To not use early years,TINTO PRIMARY,,
,,NURSERY SCHOOL,PRIMARY,,or ASL Education,SCHOOL,,
,,,SCHOOL,,establishments.,,,
,,,,,Tinto PS is an existing,,,
,,,,,polling place.,,,
CC3002,CPSO0204,TINTO PRIMARY,No change,,,No change,,
,,SCHOOL,,,,,,
CC3102,CPSO0205,NEWLANDS SOUTH,No change,,,No change,,
,,CHURCH HALL,,,,,,
,,,,,,,,
CC3202,CPSO0206,POLLOKSHAWS,No change,,,No change,,
,,COMMUNITY HUB,,,,,,
,,,,,,,,
CC3302,CPSO0207,OUR LADY OF THE,No change,,,No change,,
,,ANNUNCIATION,,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
PK0702,CPSW0201,ASHPARK PRIMARY,No change,,,No change,,
,,SCHOOL,,,,,,
EXISTING,PROPOSED,CURRENT,PROPOSED,DISTANCE,PROPOSED,DISTANCE,REASON FOR,PROPOSED
POLLING,NEW,POLLING PLACE,CHANGE TO,MILES,CHANGE,MILES,PROPOSED CHANGE,CHANGE TO
DISTRICT,POLLING,,POLLING,,TO,,TO VENUE,POLLING PLACE
,DISTRICT,,PLACE,,POLLING,,,
,NAME,,,,PLACE,,,
PK0803,CPSW0301,LINTHAUGH,CROOKSTON,0.6,ST,0.5M,To not use early years,ST MONICA'S PS
,,NURSERY,CASTLE PS,,MONICA'S,,or ASL Education,
,,,,,PS,,establishments.,
,,,,,,,Neither school are,
,,,,,,,existing polling places.,
PK0903,CPSW0302,LINTHAUGH,CROOKSTON,0.6,ST,0.5M,To not use early years,ST MONICA'S PS
,,NURSERY,CASTLE PS,,MONICA'S,,or ASL Education,
,,,,,PS,,establishments.,
,,,,,,,Neither school are,
,,,,,,,existing polling places.,
PK1003,CPSW0303,ST MARNOCK'S,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
PK1103,CPSW0304,GOWANBANK,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
PK1203,CPSW0305,THE UNITED,No change,,,,,No change
,,REFORMED,,,,,,
,,CHURCH AKA THE,,,,,,
,,HALL,,,,,,
PK1303,CPSW0306,PRIESTHILL,No change,,,,,No change
,,PARISH CHURCH,,,,,,
,,HALL,,,,,,
PK1403,CPSW0307,LINTHAUGH,CROOKSTON,0.6,ST,0.5M,To not use early years,ST MONICA'S PS
,,NURSERY,CASTLE PS,,MONICA'S,,or ASL Education,
,,,,,PS,,establishments.,
,,,,,,,Neither school are,
,,,,,,,existing polling places.,
PK1503,CPSW0308,CLEEVES,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
PK1603,CPSW0309,DARNLEY,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
PK1703,CPSW0310,DARNLEY,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
PK1803,CPSW0311,DARNLEY,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
PK1903,CPSW0312,ST BERNARD'S,No change,,,,,No change
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
EXISTING,PROPOSED,CURRENT,PROPOSED,DISTANCE,PROPOSED,DISTANCE,REASON FOR,PROPOSED
POLLING,NEW,POLLING PLACE,CHANGE TO,MILES,CHANGE TO,MILES,PROPOSED,CHANGE TO
DISTRICT,POLLING,,POLLING,,POLLING,,CHANGE TO,POLLING PLACE
,DISTRICT,,PLACE,,PLACE,,VENUE,
,NAME,,,,,,,
PK2104,RNPR0401,PENILEE CE,No change,,,,,No change
,,CETRE,,,,,,
PK2204,RNPR0402,ST GEORGE'S,No change,,,,,No change
,,PS,,,,,,
PK2304,RNPR0403,ROSSHALL,ST,1M,CARDONALD,0.7,To not use early,No change
,,NURSERY,GEORGE'S,,PARISH,,years or ASL,
,,SCHOOL,PS,,CHURCH,,Education,
,,,,,HALL,,establishments.,
,,,,,,,Cardonald Parish,
,,,,,,,Church Hall is an,
,,,,,,,existing polling,
,,,,,,,place.,
PK2404,RNPR0404,HILLINGTON PS,No change,,,,,No change
,,,,,,,,
PK2504,RNPR0405,LOURDES PS,No change,,,,,No change
,,,,,,,,
PK2604,RNPR0406,LOURDES PS,No change,,,,,No change
,,,,,,,,
PK2704,RNPR0407,CARDONALD,No change,,,,,No change
,,PARISH,,,,,,
,,CHURCH HALL,,,,,,
PK2804,RNSW0401,CARDONALD,No change,,,,,No change
,,PRIMARY,,,,,,
,,SCHOOL,,,,,,
PK2904,RNSW0402,LYONCROSS,ST JAMES,0.3M,,,To not use early,No change
,,NURSERY,(POLLOK),,,,years or ASL,
,,SCHOOL,PARISH,,,,Education,
,,,CHURCH,,,,establishments.  St,
,,,HALL,,,,James (Pollok),
,,,,,,,Parish Church Hall,
,,,,,,,is an existing,
,,,,,,,polling place.,
PK3004,RNSW0403,ST JAMES,No change,,,,,No change
,,(POLLOK),,,,,,
,,PARISH,,,,,,
,,CHURCH HALL,,,,,,
PK3104,RNSW0404,OUR LADY OF,No change,,,,,No change
,,THE ROSARY,,,,,,
,,PRIMARY,,,,,,
,,SCHOOL,,,,,,
PK3204,RNSW0405,MOSSPARK,No change,,,,,No change
,,PRIMARY,,,,,,
,,SCHOOL,,,,,,
PK3304,RNSW0406,CORKERHILL,No change,,,,,No change
,,COMMUNITY,,,,,,
,,CENTRE,,,,,,
PK3504,RNSW0407,CARDONALD,No change,,,,,No change
,,PARISH,,,,,,
,,CHURCH HALL,,,,,,
EXISTING,PROPOSED,CURRENT POLLING,PROPOSED,,,,,
POLLING,NEW,PLACE,CHANGE TO,,,,,
DISTRICT,POLLING,,POLLING,,,,,
,DISTRICT,,PLACE,,,,,
,NAME,,,,,,,
PK0105,CESW0501,PIRIE PARK PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
PK0205,CESW0502,PIRIE PARK PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
PK0305,CESW0503,ST CONSTANTINES,No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
PK0405,CESW0504,GOVAN CAMPUS,No change,,,,,
,,,,,,,,
SS0105,CESW0505,GOVAN CAMPUS,No change,,,,,
,,,,,,,,
SS0205,CESW0506,IBROX PRIMARY,No change,,,,,
,,SCHOOL,,,,,,
SS0305,CESW0507,LORNE STREET,No change,,,,,
,,PRIMARY SCHOOL,,,,,,
,,,,,,,,
SS0405,CESW0508,THE BARN YOUTH,No change,,,,,
,,CENTRE,,,,,,
EXISTING,PROPOSED,CURRENT,PROPOSED,DISTANCE,PROPOSED,DISTANCE,REASON FOR,PROPOSED
POLLING,NEW,POLLING PLACE,CHANGE TO,MILES,CHANGE,MILES,PROPOSED CHANGE,CHANGE TO
