EXISTING,POLLING,PROPOSED,CURRENT POLLING,PROPOSED.1
POLLING,DISTRICT,NEW,PLACE,CHANGE TO
DISTRICT,MERGE,POLLING,,POLLING
,WITH,DISTRICT,,PLACE
,,NAME,,
AN3723,,KMWE2301,KELVINDALE,No change
,,,PRIMARY SCHOOL,
KE1523,,KMWE2302,HYNDLAND,No change
,,,SECONDARY,
,,,SCHOOL,
KE1623,,KMWE2303,NOTRE DAME,No change
,,,PRIMARY SCHOOL,
KE1723,,KMWE2304,HYNDLAND,No change
,,,SECONDARY,
,,,SCHOOL,
KE2523,,KMWE2305,HYNDLAND PRIMARY,No change
,,,SCHOOL,
KE2623,,KMWE2306,NOTRE DAME,No change
,,,PRIMARY SCHOOL,
KE2723,,KMWE2307,NOTRE DAME,No change
,,,PRIMARY SCHOOL,
MS1323,,KMNO2301,KELVINDALE,No change
,,,PRIMARY SCHOOL,
MS1423,,KMNO2302,KELVINDALE,No change
,,,PRIMARY SCHOOL,
MS1623,,KMNO2303,CLEVEDEN,No change
,,,SECONDARY,
,,,SCHOOL,
MS4523,,KMWE2308,TEMPLE-,No change
,,,ANNIESLAND,
,,,CHURCH HALL,
