ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,PROPERTY_TYPE_SHORT,PROPERTY_TYPE,FLOOR_AREA,CURRENT_ENERGY_PERFORMANCE_RATING,CURRENT_ENERGY_PERFORMANCE_BAND,BUILDING_EMISSIONS,RENEWABLE_SOURCES,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,BUILDING_ENVIRONMENT,,Demand KWH,Demand MWH,Demand GWH
Unit 48 Intu Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,673,58,D,57.79,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"67,300.00",67.3,0.07
UME 96 Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Office/Workshop,Offices and Workshop businesses,26,94,F,94.19,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"3,120.00",3.12,0
Unit 110,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,45,12,A,12.28,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"1,350.00",1.35,0
Unit 141 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,174,18,B+,18.12,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"9,570.00",9.57,0.01
Unit 11 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,171,28,B,28.14,Heat pumps,Grid supplied,Grid Supplied Electricity,Mixed-mode with Mechanical Ventilation,,"9,405.00",9.41,0.01
Unit 53 Intu Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Retail/Financial,A1/A2 Retail and Financial/Professional services,213,60,D,59.64,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"21,300.00",21.3,0.02
Unit 53,Braehead Shopping Centre,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,202,14,A,13.79,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"6,060.00",6.06,0.01
Unit 44 Intu Braehead Braehead Shopping Centre,Kings Inch Road,Renfrewshire,G51 4BN,Retail/Financial,Retail/Financial and Professional services,627,325,G,324.93,None,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"75,240.00",75.24,0.08
Unit 48A Intu Braehead Shopping Centre,Kings Inch Road,GLASGOW,G51 4BN,Retail/Financial,Retail/Financial and Professional services,247,67,E+,67.49,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"29,640.00",29.64,0.03
Unit 5A Intu Braehead Braehead Management Suite Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Retail/Financial,Retail/Financial and Professional services,198,240,G,240.37,None,Grid supplied,Grid Supplied Electricity,Heating and Natural Ventilation,,"23,760.00",23.76,0.02
Unit 52 Intu Braehead Shopping Centre,Kings Inch Road,Glasgow,G51 4BN,Retail/Financial,A1/A2 Retail and Financial/Professional services,359,58,D,58.16,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"35,900.00",35.9,0.04
Unit 60 Braehead Shopping Centre,Kings Inch Road,Renfrew,G51 4BN,Retail/Financial,Retail/Financial and Professional services,889,15,A,15.49,Heat pumps,Grid supplied,Grid Supplied Electricity,Air Conditioning,,"26,670.00",26.67,0.03
