OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
123105409,61A MONTROSE AVENUE,HILLINGTON PARK,GLASGOW,G52 4LA,58.79,Grid supplied,Natural Gas,296,00RC,00RCMB,5.54
,Hillington Laundry and Call Centre,1 Jubilee Ct,Glasgow,G52 4LB,52.33,Grid supplied,Natural Gas,267,00RC,00RCMB,5.36
123013750,5 Jubilee Court,Hillington Park,Glasgow,G52 4LB,94.59,Grid supplied,Natural Gas,377,00RC,00RCMB,33.45
,Unit 5,48 Kelvin Avenue,Glasgow,G52 4LT,114.12,Grid supplied,Natural Gas,398,00RC,00RCMB,26.6
123114496,72 KELVIN AVENUE,HILLINGTON PARK,GLASGOW,G52 4LT,38.64,Grid supplied,Natural Gas,121,00RC,00RCMB,43.6
123013754,19 KELVIN AVENUE,HILLINGTON PARK,GLASGOW,G52 4LT,65.29,Grid supplied,Natural Gas,323,00RC,00RCMB,10.58
123013760,30 Kelvin Avenue,Hillington Park,Glasgow,G52 4LT,74.68,Grid supplied,Natural Gas,281,00RC,00RCMB,33.39
123013753,17 Kelvin Avenue,Hillington Park,Glasgow,G52 4LT,107.6,Grid supplied,Natural Gas,408,00RC,00RCMB,23.92
123013767,42 KELVIN AVENUE,HILLINGTON PARK,GLASGOW,G52 4LT,85.98,Grid supplied,Natural Gas,264,00RC,00RCMB,28.49
,Unit 4,46 Kelvin Avenue,Glasgow,G52 4LT,114.74,Grid supplied,Natural Gas,400,00RC,00RCMB,26.76
123097995,70 Kelvin Avenue,Hillington,Glasgow,G52 4LT,51.04,Grid supplied,Natural Gas,147,00RC,00RCMB,23.7
123114497,74 KELVIN AVENUE,HILLINGTON PARK,GLASGOW,G52 4LT,39.4,Grid supplied,Natural Gas,133,00RC,00RCMB,40.19
,Block 75 Napier Road,Hillington Park,Glasgow,G52 4LW,99.28,Grid supplied,Natural Gas,390,00RC,00RCMB,32.83
123013785,Unit 10 Hillington Park Shopping Centre,Earl Haig Road,Glasgow,G52 4LY,67.57,Grid supplied,Oil,201,00RC,00RCMB,19.81
,Unit B1,1 Queensberry Avenue,Glasgow,G52 4NL,28.24,Grid supplied,Natural Gas,152,00RC,00RCMB,11.62
123092654,6 Queensberry Avenue,Hillington Park,Glasgow,G52 4NL,77.64,Grid supplied,Natural Gas,179,00RC,00RCMB,34.26
,3 Queensberry Avenue,Hillington Park,Glasgow,G52 4NL,37.97,Grid supplied,Natural Gas,91,00RC,00RCMB,14.9
123093956,7 QUEENSBERRY AVENUE,HILLINGTON PARK,GLASGOW,G52 4NL,75.95,Grid supplied,Natural Gas,213,00RC,00RCMB,30.39
