OSG_REFERENCE_NUMBER,ADDRESS1,ADDRESS2,POST_TOWN,POSTCODE,BUILDING_EMISSIONS,ELECTRICITY_SOURCE,MAIN_HEATING_FUEL,APPROXIMATE_ENERGY_USE,LOCAL_AUTHORITY,CONSTITUENCY,TARGET_EMISSIONS
9.067E+11,Partick Brewing Company,163 DUMBARTON ROAD,GLASGOW,G11 6AA,126.76,Grid supplied,Natural Gas,411,00QS,00QSMM,68.35
9.067E+11,FLAT 2/2,211 DUMBARTON ROAD,GLASGOW,G11 6AA,32.26,Grid supplied,Natural Gas,73,00QS,00QSMM,15.22
9.067E+11,Flat 3-1,211 Dumbarton Road,Glasgow,G11 6AA,44.49,Grid supplied,Natural Gas,112,00QS,00QSMM,15.8
9.067E+11,PARTICK SOUTH PARISH CHURCH,259 DUMBARTON ROAD,GLASGOW,G11 6AB,134.19,Grid supplied,Natural Gas,376,00QS,00QSMM,22.76
,UNIT F,41 PURDON STREET,GLASGOW,G11 6AF,45.09,Grid supplied,Natural Gas,249,00QS,00QSMM,9.19
,Unit C,35 Purdon Street,Glasgow,G11 6AF,90.61,Grid supplied,Natural Gas,228,00QS,00QSMM,38.46
,Unit A,31 Purdon Street,Glasgow,G11 6AF,108.02,Grid supplied,Natural Gas,339,00QS,00QSMM,25.51
,Unit D,Purdon Street,Glasgow,G11 6AF,159.73,Grid supplied,Natural Gas,476,00QS,00QSMM,51.04
,Unit E,39 Purdon Street,Glasgow,G11 6AF,177.24,Grid supplied,Natural Gas,552,00QS,00QSMM,63.12
,469-475 Dumbarton Road,Glasgow,Strathclyde,G11 6EJ,132.22,Grid supplied,Natural Gas,334,00QS,00QSMM,60.11
9.06701E+11,ADVANCED RESEARCH CENTRE,11 CHAPEL LANE,GLASGOW,G11 6EW,13.27,Grid supplied,District Heating,48,,,21.96
9.06701E+11,Adam Smith Building,2 Discovery Place,Glasgow,G11 6EY,6.19,Grid supplied,District Heating,52,00QS,00QSMM,8.24
,Showroom,701 Dumbarton Road,Glasgow,G11 6HT,97.16,Grid supplied,Natural Gas,291,00QS,00QSMM,25.3
,Workshop,701 Dumbarton Road,Glasgow,G11 6HT,75.95,Grid supplied,Natural Gas,236,00QS,00QSMM,29.85
,Community Centre for Health,547 Dumbarton Road,Glasgow,G11 6HU,25.78,Grid supplied,Natural Gas,136,00QS,00QSMM,6.43
9.067E+11,WEST END POLICE OFFICE,611 DUMBARTON ROAD,GLASGOW,G11 6HY,162.4,Grid supplied,Natural Gas,524,00QS,00QSMM,58.38
,Flat 1-2 and 1-3,7 Partick Bridge Street,Glasgow,G11 6PN,30.1,Grid supplied,Natural Gas,160,00QS,00QSMM,9.56
9.06701E+11,HYNDLAND HOUSE,10 KEITH STREET,GLASGOW,G11 6QQ,30.09,Grid supplied,Natural Gas,151,00QS,00QSMM,15.85
,Crystal Dental Care,474 Dumbarton Road,Glasgow,G11 6SQ,69.25,Grid supplied,Natural Gas,347,00QS,00QSMM,9.92
9.067E+11,356 Dumbarton Road,Partick,Glasgow,G11 6TG,74.69,Grid supplied,Natural Gas,183,00QS,00QSMM,25.19
,Units 2 and 3,252 -266 Dumbarton Road,Glasgow,G11 6TU,94.3,Grid supplied,Natural Gas,220,00QS,00QSMM,35.86
,188-190,Dumbarton Road,Glasgow,G11 6UN,32.12,Grid supplied,Natural Gas,174,00QS,00QSMM,4.69
9.067E+11,Office 2/1,211 Dumbarton Road,Glasgow,G11 7AA,44.91,Grid supplied,Natural Gas,131,00QS,00QSMM,19.34
9.067E+11,CLARENCE HOUSE,234 CROW ROAD,GLASGOW,G11 7PD,142.62,Grid supplied,Natural Gas,495,00QS,00QSMM,72.68
9.067E+11,BALSHAGRAY PARISH CHURCH,230 BROOMHILL DRIVE,GLASGOW,G11 7QA,56.58,Grid supplied,Natural Gas,281,00QS,00QSMM,11.7
9.067E+11,PARTICK UNITED FREE CHURCH,2 THORNWOOD TERRACE,GLASGOW,G11 7QZ,154.91,Grid supplied,Natural Gas,599,00QS,00QSMM,29.7
,Appletree Dental Care,3 Crow Road,Glasgow,G11 7RT,57.78,Grid supplied,Natural Gas,291,00QS,00QSMM,6.96
,Unit 5 West End Retail Park,Crow Road,Glasgow,G11 7RY,57.27,Grid supplied,Natural Gas,173,00QS,00QSMM,24.24
,Unit 1 West End Retail Park,Crow Road,Glasgow,G11 7RY,55.05,Grid supplied,Natural Gas,118,00QS,00QSMM,27.03
,Unit 6 West End Retail Park,Crow Road,Glasgow,G11 7RY,64.11,Grid supplied,Natural Gas,169,00QS,00QSMM,17.47
9.067E+11,MCDONALDS DRIVE THRU,30 CROW ROAD,GLASGOW,G11 7RY,335.83,Grid supplied,Natural Gas,785,00QS,00QSMM,113.7
,Unit 2,117 Crow Road,Glasgow,G11 7SH,74.33,Grid supplied,Natural Gas,187,00QS,00QSMM,38.59
,Showroom,1175 South Street,Glasgow,G14 0AL,20.47,Grid supplied,Natural Gas,113,00QS,00QSMN,5.25
,Unit 18-19 Barclay Curle Complex,739 South Street,Glasgow,G14 0BX,89.02,Grid supplied,Natural Gas,309,00QS,00QSMM,17.85
,Unit 17 A-C Barclay Curle Complex,739 South Street,Glasgow,G14 0BX,85.22,Grid supplied,Natural Gas,234,00QS,00QSMM,19.45
,Unit 18,739 South Street,Glasgow,G14 0BX,73.71,Grid supplied,Natural Gas,228,00QS,00QSMM,20.23
,Bay A-C,739 South Street,Glasgow,G14 0BX,35.13,Grid supplied,Natural Gas,71,00QS,00QSMM,13.17
9.06701E+11,UNIT WORKSHOP,813 SOUTH STREET,GLASGOW,G14 0BX,32.26,Grid supplied,Natural Gas,97,00QS,00QSMM,7.58
,Ground Floor,813 SOUTH STREET,GLASGOW,G14 0BX,59.24,Grid supplied,Natural Gas,165,00QS,00QSMM,19.66
,Unit 6 Barclay Curle Complex,739 South Street,Glasgow,G14 0BX,149.97,Grid supplied,Biomass,1980,00QS,00QSMM,37.2
,EMR Warehouse,719-813 South Street,Glasgow,G14 0BX,46.72,Grid supplied,Other,90,00QS,00QSMM,16.24
,Unit 19,739 South Street,Glasgow,G14 0BX,97.7,Grid supplied,Natural Gas,268,00QS,00QSMM,25.13
,Bay E,739 South Street,Glasgow,G14 0BX,37.49,Grid supplied,Natural Gas,76,00QS,00QSMM,11.64
9.067E+11,LOVAT ARMS,2562 DUMBARTON ROAD,GLASGOW,G14 0PT,135.77,Grid supplied,LPG,396,00QS,00QSMN,87.06
,Unit 4a,750 South Street,Glasgow,G14 0SY,47.71,Grid supplied,Natural Gas,246,00QS,00QSMM,11.86
,Unit 3D,760 South Street,Glasgow,G14 0SY,102.7,Grid supplied,Natural Gas,387,00QS,00QSMM,30.68
,Unit 3C,780 South Street,Glasgow,G14 0SY,89.56,Grid supplied,Natural Gas,297,00QS,00QSMM,27.29
,Unit 3A,790 South Street,Glasgow,G14 0SY,73.89,Grid supplied,Natural Gas,198,00QS,00QSMM,25.13
,Unit 4b,750 South Street,Glasgow,G14 0SY,70.31,Grid supplied,Natural Gas,352,00QS,00QSMM,9.81
,Unit 4,820-830 South Street,Glasgow,G14 0SY,242.58,Grid supplied,Natural Gas,821,00QS,00QSMM,49.41
,Metro,728 Anniesland Road,Glasgow,G14 0YU,62.14,Grid supplied,Natural Gas,143,00QS,00QSMN,26.95
,Unit3,36 Bulldale Street,Glasgow,G14 8NU,77.29,Grid supplied,Natural Gas,256,,,24.99
,unit8,36 Bulldale Street,Glasgow,G14 8NU,188,Grid supplied,Natural Gas,712,,,19.01
,Unit1,36 Bulldale Street,Glasgow,G14 8NU,92.31,Grid supplied,Natural Gas,339,,,17.32
,Unit2,36 Bulldale Street,Glasgow,G14 8NU,144.95,Grid supplied,Natural Gas,648,,,42.71
,Unit4,16 Bulldale Street,Glasgow,G14 8NU,94.02,Grid supplied,Natural Gas,325,,,26.57
,Unit7,36 Bulldale Street,Glasgow,G14 8NU,150.65,Grid supplied,Natural Gas,683,,,32.38
9.067E+11,SURGERY,12 KINGSWAY COURT,GLASGOW,G14 9DS,31.46,Grid supplied,Natural Gas,166,00QS,00QSMN,7.02
9.067E+11,SCOTSTOUN LEISURE CENTRE,112 DANES DRIVE,GLASGOW,G14 9HD,85.57,Grid supplied,Natural Gas,327,00QS,00QSMN,72.35
,Scotstoun Primary School Extension,21 Duncan Avenue,Glasgow,G14 9HN,20.58,Grid supplied,Natural Gas,126,00QS,00QSMN,22.52
9.067E+11,FLAT 0/1,1447 DUMBARTON ROAD,GLASGOW,G14 9XP,37.27,Grid supplied,Natural Gas,233,00QS,00QSMM,4.78
,Flat 1/1,33 Lyndoch Street,Glasgow,G3 6AA,73.14,Grid supplied,Natural Gas,237,00QS,00QSMK,17.71
9.067E+11,STOREY 0/1,31 LYNEDOCH STREET,GLASGOW,G3 6AA,34.01,Grid supplied,Natural Gas,96,00QS,00QSMK,15.14
,Suite 1,33 Lyndoch Street,Glasgow,G3 6AA,86.59,Grid supplied,Natural Gas,321,00QS,00QSMK,40.41
9.067E+11,STOREY BASEMENT,3 LYNEDOCH PLACE,GLASGOW,G3 6AB,109.38,Grid supplied,Natural Gas,251,00QS,00QSMK,17.91
9.06701E+11,STOREY 1,23 PARK CIRCUS,GLASGOW,G3 6AP,52.75,Grid supplied,Natural Gas,186,00QS,00QSMK,16.83
9.067E+11,STOREY GROUND,23 PARK CIRCUS,GLASGOW,G3 6AP,59.48,Grid supplied,Natural Gas,214,00QS,00QSMK,19.64
9.067E+11,FLAT 2,23 PARK CIRCUS,GLASGOW,G3 6AP,64.78,Grid supplied,Natural Gas,247,00QS,00QSMK,18.73
9.067E+11,FLAT 3,23 PARK CIRCUS,GLASGOW,G3 6AP,29.25,Grid supplied,Natural Gas,95,00QS,00QSMK,14.34
,The Gilchrist Suite,44 Ashley Street,Glasgow,G3 6DS,104.09,Grid supplied,Natural Gas,366,00QS,00QSML,22.23
9.06701E+11,STOREY GROUND,101 ST GEORGES ROAD,GLASGOW,G3 6JA,28.66,Grid supplied,Natural Gas,61,00QS,00QSML,13.41
9.067E+11,ST ANDREWS BUILDING 11,ELDON STREET,GLASGOW,G3 6NH,53.46,Grid supplied,Natural Gas,193,00QS,00QSMK,18.55
,Assembly Buildings,20 Scott Street,Glasgow,G3 6PE,77.33,Grid supplied,Natural Gas,315,00QS,00QSMK,12.04
,Block D,44 Garnethill Street,Glasgow,G3 6QQ,106.12,Grid supplied,Natural Gas,279,00QS,00QSMK,56.02
,Block A & B,85-87 Bucchleuch Street,Glasgow,G3 6QT,134.54,Grid supplied,Natural Gas,380,00QS,00QSMK,80.59
,Block C,89 Bucchleuch Street,Glasgow,G3 6QT,94.81,Grid supplied,Natural Gas,257,00QS,00QSMK,54.46
,St. Aloysius’ College PE Base,23 Rose Street,Glasgow,G3 6RE,9.68,Grid supplied,Natural Gas,44,00QS,00QSMK,6.67
9.067E+11,ATLANTIC HOTEL,144 RENFREW STREET,GLASGOW,G3 6RF,117.94,Grid supplied,Natural Gas,571,00QS,00QSMK,62.07
9.067E+11,HALDANE BUILDING,30 HILL STREET,GLASGOW,G3 6RN,43.66,Grid supplied,Natural Gas,138,00QS,00QSMK,16.57
,Reid Building,164 Renfrew Street,Glasgow,G3 6RQ,35,Grid supplied,Natural Gas,113,00QS,00QSMK,16.14
,Bourdon Building,167 Renfrew Street,Glasgow,G3 6RQ,52.73,Grid supplied,Natural Gas,164,00QS,00QSMK,16.96
,St. Aloysius’ College Sports Facility,26 Dalhousie Street,Glasgow,G3 6RS,42.36,Grid supplied,Natural Gas,182,,,37.48
9.067E+11,Floor 3/1,134 Renfrew Street,Glasgow,G3 6ST,48.37,Grid supplied,Natural Gas,141,00QS,00QSMK,15.54
