input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url
31 LYNEDOCH STREET,STOREY 0/1,Natural Gas,34.01,M238800031 F0G01,OFFICE,FLAT GROUND-131 LYNEDOCH STREETGLASGOWG3 6AA,NIC LTD T/A NICOLSON ACCOUNTANCY,,"£30,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=31+LYNEDOCH+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M238800031+F0G01&PPRN=47051930&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=31+LYNEDOCH+STREET&searchtype=listing#results
31 LYNEDOCH STREET,STOREY 0/1,Natural Gas,34.01,M238800031 00005,CAR SPACE,31 LYNEDOCH STREETGLASGOWG3 6AA,NIC LTD T/A NICOLSON ACCOUNTANCY,,"£1,200",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=31+LYNEDOCH+STREET&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M238800031+00005&PPRN=47497904&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=31+LYNEDOCH+STREET&searchtype=listing#results
3 LYNEDOCH PLACE,STOREY BASEMENT,Natural Gas,109.38,M238200004 F0203,OFFICE,FLAT 2-34 LYNEDOCH PLACEGLASGOWG3 6AB,VERSKO LTD,LYLE PILATES,"£1,800",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=3+LYNEDOCH+PLACE&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M238200004+F0203&PPRN=47529903&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=3+LYNEDOCH+PLACE&searchtype=listing#results
3 LYNEDOCH PLACE,STOREY BASEMENT,Natural Gas,109.38,M238200004 F0301,OFFICE,FLAT 3-14 LYNEDOCH PLACEGLASGOWG3 6AB,VERSKO LTD,LO WORKS LTD,"£2,300",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=3+LYNEDOCH+PLACE&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M238200004+F0301&PPRN=47546077&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=3+LYNEDOCH+PLACE&searchtype=listing#results
3 LYNEDOCH PLACE,STOREY BASEMENT,Natural Gas,109.38,M238200004 F0302,OFFICE,FLAT 3-24 LYNEDOCH PLACEGLASGOWG3 6AB,VERSKO LTD,NK ACCOUNTANTS LTD,"£1,600",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=3+LYNEDOCH+PLACE&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M238200004+F0302&PPRN=47546085&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=3+LYNEDOCH+PLACE&searchtype=listing#results
1 Park Circus Place,1 Park Circus Place,Natural Gas,21.23,M586200001,OFFICE,1 PARK CIRCUS PLACEGLASGOWG3 6AH,WALKER MARTYN SOFTWARE LTD,,"£32,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=1+Park+Circus+Place&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M586200001&PPRN=47054158&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=1+Park+Circus+Place&searchtype=listing#results
23 PARK CIRCUS,STOREY 1,Natural Gas,52.75,M585000023 F0100,OFFICE,FLAT 123 PARK CIRCUSGLASGOWG3 6AP,KPM COMMERCIAL LTD,UNICK CONSULTING LIMITED,"£18,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=23+PARK+CIRCUS&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M585000023+F0100&PPRN=47046953&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=23+PARK+CIRCUS&searchtype=listing#results
23 PARK CIRCUS,STOREY 1,Natural Gas,52.75,M585000023 F0200,OFFICE,FLAT 223 PARK CIRCUSGLASGOWG3 6AP,KPM COMMERCIAL LTD,KPM PROPERIES LTD,"£15,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=23+PARK+CIRCUS&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M585000023+F0200&PPRN=47317922&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=23+PARK+CIRCUS&searchtype=listing#results
23 PARK CIRCUS,STOREY 1,Natural Gas,52.75,M585000023 F0300,OFFICE,FLAT 323 PARK CIRCUSGLASGOWG3 6AP,KPM COMMERCIAL LTD,KPM PROJECTS LTD,"£11,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=23+PARK+CIRCUS&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M585000023+F0300&PPRN=47046988&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=23+PARK+CIRCUS&searchtype=listing#results
23 PARK CIRCUS,STOREY 1,Natural Gas,52.75,M585000023 F0B00,DAY NURSERY,FLAT BASEMENT23 PARK CIRCUSGLASGOWG3 6AP,KPM RESIDENTIAL LIMITED,KPM RESIDENTIAL LTD,"£14,400",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=23+PARK+CIRCUS&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M585000023+F0B00&PPRN=47373601&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=23+PARK+CIRCUS&searchtype=listing#results
