input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url
99 KING'S INCH DRIVE,IKEA BRAEHEAD RETAIL PARK,Natural Gas,30.78,Z46030/0099,DEPOT WAREHOUSE,99 BRAEHEAD RETAIL PARKKING'S INCH DRIVEGLASGOWG51 4FB,IKEA PROPERTIES INVESTMENT LTD,IKEA LTD,"£2,900,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=99+KING%27S+INCH+DRIVE&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=Z46030%2F0099&PPRN=67143652&ASSESSOR_IDX=12&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=99+KING%27S+INCH+DRIVE&searchtype=listing#results
9 SKIPNESS DRIVE,GOVAN/LINTHOUSE PARISH CHURCH,Natural Gas,136.98,M927600009,HEALTH CLUB,9 SKIPNESS DRIVEGLASGOWG51 4RL,MAMUN UR RASHID,THE SANCTUARY GYM LTD,"£62,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=9+SKIPNESS+DRIVE&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M927600009&PPRN=47220953&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=9+SKIPNESS+DRIVE&searchtype=listing#results
9 Skipness Drive,Govan / Linthouse Parish Church (West Hall),Natural Gas,64.5,M927600009,HEALTH CLUB,9 SKIPNESS DRIVEGLASGOWG51 4RL,MAMUN UR RASHID,THE SANCTUARY GYM LTD,"£62,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=9+Skipness+Drive&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M927600009&PPRN=47220953&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=9+Skipness+Drive&searchtype=listing#results
9 Skipness Drive,Govan / Linthouse Parish Church (East Hall),Natural Gas,76.26,M927600009,HEALTH CLUB,9 SKIPNESS DRIVEGLASGOWG51 4RL,MAMUN UR RASHID,THE SANCTUARY GYM LTD,"£62,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=9+Skipness+Drive&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=M927600009&PPRN=47220953&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=9+Skipness+Drive&searchtype=listing#results
1345 Govan Road,Block BL_DB Maternity (1 and 2),Natural Gas,66.29,L632401345 U00A1,SHOP,UNIT A11345 GOVAN ROADGLASGOWG51 4TF,NHS GREATER GLASGOW & CLYDE,MURRAYDALE LTD T/A SOUPED UP & JUICED,"£24,250",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=1345+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L632401345+U00A1&PPRN=47486759&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=1345+Govan+Road&searchtype=listing#results
1345 Govan Road,Block BL_DB Maternity (1 and 2),Natural Gas,66.29,L632401345 U00A2,SHOP,UNIT A21345 GOVAN ROADGLASGOWG51 4TF,NHS GREATER GLASGOW & CLYDE,UNISON,"£16,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=1345+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L632401345+U00A2&PPRN=47486767&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=1345+Govan+Road&searchtype=listing#results
1345 Govan Road,Block BL_DB Maternity (1 and 2),Natural Gas,66.29,L632401345 U00A3,SHOP,UNIT A3CAMDEN FOOD CO1345 GOVAN ROADGLASGOWG51 4TF,NHS GREATER GLASGOW & CLYDE,SELECT SERVICE PARTNER LIMITED,"£26,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=1345+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L632401345+U00A3&PPRN=47486783&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=1345+Govan+Road&searchtype=listing#results
1345 Govan Road,Block BL_DB Maternity (1 and 2),Natural Gas,66.29,L632401345 U00A4,SHOP,UNIT A41345 GOVAN ROADGLASGOWG51 4TF,NHS GREATER GLASGOW & CLYDE,WH SMITH HOSPITALS LTD T/A MARKS & SPENCER SIMPLY FOOD PER WH SMITH PLC,"£55,500",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=1345+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L632401345+U00A4&PPRN=47486791&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=1345+Govan+Road&searchtype=listing#results
1345 Govan Road,Block BL_DB Maternity (1 and 2),Natural Gas,66.29,L632401345 U00C2,SHOP,UNIT C21345 GOVAN ROADGLASGOWG51 4TF,NHS GREATER GLASGOW & CLYDE,GLASGOW CHILDREN'S HOSPITAL CHARITY,"£14,600",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=1345+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L632401345+U00C2&PPRN=47486813&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=1345+Govan+Road&searchtype=listing#results
1345 Govan Road,Block BL_DB Maternity (1 and 2),Natural Gas,66.29,L632401345 00005,HOSPITAL,QEUH1345 GOVAN ROADGLASGOWG51 4TF,NHS GREATER GLASGOW & CLYDE,,"£22,190,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=1345+Govan+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L632401345+00005&PPRN=47220279&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=1345+Govan+Road&searchtype=listing#results
