input_postcode,input_address,heating_type,building_emissions,result_address,result_value,Property Address,Proprietor,Tenant,Rateable Value,detail_url,search_url
163 DUMBARTON ROAD,Partick Brewing Company,Natural Gas,126.76,L261000163,PUBLIC HOUSE,THE PARTICK BREWING CO163 DUMBARTON ROADGLASGOWG11 6AA,ONE LEISURE (PROPERTY) LIMITED,,"£53,100",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=163+DUMBARTON+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000163&PPRN=47057130&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=163+DUMBARTON+ROAD&searchtype=listing#results
211 DUMBARTON ROAD,FLAT 2/2,Natural Gas,32.26,L261000211 F0101,OFFICE,FLAT 1-1211 DUMBARTON ROADGLASGOWG11 6AA,IMEXCO LTD,,"£4,600",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000211+F0101&PPRN=47436492&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing#results
211 DUMBARTON ROAD,FLAT 2/2,Natural Gas,32.26,L261000211 F0102,OFFICE,FLAT 1-2211 DUMBARTON ROADGLASGOWG11 6AA,IMEXCO LIMITED,INDEPENDENT ACCOUNTANTS IN SCOTLAND LTD,"£15,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000211+F0102&PPRN=47436506&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing#results
211 DUMBARTON ROAD,FLAT 2/2,Natural Gas,32.26,L261000211 F0201,OFFICE,FLAT 2-1211 DUMBARTON ROADGLASGOWG11 6AA,BLACK & ASSOCIATES,,"£4,900",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000211+F0201&PPRN=47453788&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing#results
211 DUMBARTON ROAD,FLAT 2/2,Natural Gas,32.26,L261000211 F0202,OFFICE,FLAT 2-2211 DUMBARTON ROADGLASGOWG11 6AA,STANDARD LIFE TRUSTEE COMPANY LTD,ROOFING ADVISORS (UK) LIMITED,"£15,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000211+F0202&PPRN=47453796&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing#results
211 DUMBARTON ROAD,FLAT 2/2,Natural Gas,32.26,L261000211 F0301,OFFICE,FLAT 3-1211 DUMBARTON ROADGLASGOWG11 6AA,WHITE PEARL CLEANING LIMITED,,"£4,900",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000211+F0301&PPRN=47436557&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing#results
211 DUMBARTON ROAD,FLAT 2/2,Natural Gas,32.26,L261000211 F0302,OFFICE,FLAT 3-2211 DUMBARTON ROADGLASGOWG11 6AA,G1 ARCHITECT LTD,,"£15,000",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000211+F0302&PPRN=47458356&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=211+DUMBARTON+ROAD&searchtype=listing#results
211 Dumbarton Road,Flat 3-1,Natural Gas,44.49,L261000211 F0101,OFFICE,FLAT 1-1211 DUMBARTON ROADGLASGOWG11 6AA,IMEXCO LTD,,"£4,600",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=211+Dumbarton+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000211+F0101&PPRN=47436492&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=211+Dumbarton+Road&searchtype=listing#results
211 Dumbarton Road,Flat 3-1,Natural Gas,44.49,L261000211 F0102,OFFICE,FLAT 1-2211 DUMBARTON ROADGLASGOWG11 6AA,IMEXCO LIMITED,INDEPENDENT ACCOUNTANTS IN SCOTLAND LTD,"£15,700",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=211+Dumbarton+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000211+F0102&PPRN=47436506&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=211+Dumbarton+Road&searchtype=listing#results
211 Dumbarton Road,Flat 3-1,Natural Gas,44.49,L261000211 F0201,OFFICE,FLAT 2-1211 DUMBARTON ROADGLASGOWG11 6AA,BLACK & ASSOCIATES,,"£4,900",https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll_cpsplit&SEARCH_TERM=211+Dumbarton+Road&searchtype=listing&DISPLAY_COUNT=10&ASSESSOR_ID=&TYPE_FLAG=C&ORDER_BY=PROPERTY_ADDRESS&H_ORDER_BY=SET+DESC&R_ORDER_BY=SET+DESC&DISPLAY_MODE=FULL&type_flag=C&UARN=L261000211+F0201&PPRN=47453788&ASSESSOR_IDX=6&#results,https://www.saa.gov.uk/search/?SEARCHED=1&SEARCH_TABLE=valuation_roll&SEARCH_TERM=211+Dumbarton+Road&searchtype=listing#results
